"business_name","status","trade_category","trade_tier","contact_name","email_address","phone","town","postcode","website_url","website_platform","website_agency","has_incumbent_agency","website_sub_segment","rating","review_count","years_on_checkatrade","business_type","company_type","employee_band","turnover_band","research_summary","notes"
"Blue Flame Services | Bristol","Researched with website","Gas Engineer / Boiler Installer","Tier 3",,"info@blueflameservice.co.uk","01179600296","United Kingdom","BS16 3RA","https://www.instagram.com/blueflameservicesbristol/","Unknown","facebookmail.com","1","Agency-managed","98","0",,"Unknown","ltd",,,"Blue Flame Services provides comprehensive boiler installation, maintenance, and repairs, alongside bathroom and kitchen design and fitting services, operating in the Bristol area since 2000. With over 24 years of experience and 2,500+ boiler installations completed, they are accredited installers for major brands including Baxi, Worcester, Vaillant, and Viessmann. Customers consistently praise the company for reliable and friendly service, highlighting the punctuality and professionalism of staff—particularly Jason—along with exceptional bathroom design work, good value, and thorough follow-up. The most compelling reason for a professional website is that they highlight 2-hour appointment slots as a competitive advantage, yet their online presence remains fragmented across multiple directories and platforms rather than consolidated on a single authoritative branded site that could communicate this unique service proposition and convert local search traffic into qualified leads more effectively.","Facebook: https://www.facebook.com/blueflameservice/
Rating: 98"
"Boswell Roofing","Researched with website","Roofer","Tier 2","Daryl","boswellroofing@outlook.com","07487650974","kidlington",,"https://www.boswellroofing.co.uk/","Unknown",,"0","Unknown","100","0",,"Unknown","ltd",,,"Boswell Roofing is an independent roofing company based in Oxfordshire, owned and managed by Daryl Boswell and his team, providing all aspects of roofing and maintenance at a highly qualified level. The owner specialises in sarnafil, iko, and bauder flat roofing systems and brings 16 years of roofing experience, with the company incorporated on 14 January 2015. The business comes highly recommended for honest and efficient service, praised for integrity and focusing on specific job needs rather than upselling unnecessary services. A professional website would allow them to better capitalise on their strong reputation by improving local SEO visibility, enabling homeowners searching ""roofer near me"" in Kidlington and Oxfordshire to discover them organically rather than relying solely on word-of-mouth and manual outreach.","Facebook: https://www.facebook.com/p/Boswell-Roofing-100083116221122/
Rating: 100"
"Canford Plumbing And Heating","Researched with website","Plumber","Tier 3",,"canfordplumbing@gmail.com","01202366380","Dorset",,"https://www.instagram.com/canfordplumbing/","Unknown","facebookmail.com","1","Agency-managed","100","0",,"Unknown","ltd",,,,"Facebook: https://www.facebook.com/CanfordPlumbingAndHeating/
Rating: 100"
"Clarkes Windows Limited","Researched with website","Other",,"Ms Alison Clarke","alison@clarkeswindows.com",,"Dorchester","DT1 1RX","https://www.clarkeswindows.com","Unknown","spf.protection","1","Agency-managed",,,,"Corporate - Ltd","ltd","1-5","< £100k","RESEARCH BRIEF: CLARKES WINDOWS LIMITED

Clarkes Windows Limited is a local family-run double glazing installation company based in Dorchester that provides double glazing, doors, window repairs, bi-fold doors, sash windows, composite doors, and related services across multiple Dorset postcodes. The company was established in 2009 but has over 30 years of experience in the industry. Reviews on Which? Trusted Traders are highly positive, with 160 verified reviews and 99% of customers recommending them, consistently praising their efficiency, professionalism, and quality workmanship. Despite this strong reputation and active website, Clarkes Windows would benefit significantly from a more prominent digital presence and SEO optimization—their Yell listing shows zero reviews while their Which? Trusted Traders profile demonstrates exceptional customer satisfaction, yet many searchers likely land on outdated directory entries or competitors' pages first, leaving potential revenue on the table from local searches for ""double glazing Dorchester"" and related queries.","SIC: 43342 Glazing / 43390 Other building completion and finishing"
"Coastal Decor","Researched with website","Painter & Decorator","Tier 2","Kenneth","glenn.coastaldecor@yahoo.com","07759253284",,,"https://www.coastaldecor.co.uk/","Unknown","spf.web","1","Agency-managed",,"0",,"Unknown","ltd",,,"Coastal Decor is a well-established professional painting and decorating business providing comprehensive decorating services throughout Ayrshire, with a reputation for quality, dependable and friendly service at affordable prices. The business draws a high percentage of repeat customers and referrals, and based on the Companies House incorporation date provided, they have been trading for approximately 2 years since March 2024. Evidence suggests the business maintains an active online presence, though specific review information from major platforms such as Google Business Profile or Checkatrade could not be located during this research. A professional website would be the single most compelling investment for Coastal Decor, as most customers find and research local businesses on Google, with Google Search and Google Maps taking first and second positions for trusted local search platforms, enabling them to capture significantly more lead generation and establish stronger online credibility in a competitive trade market.","Facebook: https://www.facebook.com/p/Coastal-Decor-61580803855235/"
"Construction Edge | Swindon","Researched with website","Builder",,,"info@construction-edge.co.uk","03338880022","Swindon",,"https://www.construction-edge.co.uk/","Unknown","z4.zpos","1","Agency-managed",,,,,"ltd",,,"Construction Edge specialises in comprehensive construction services including general building work, painting & decorating, landscaping, plumbing, plastering, electrics, brickwork, extensions, loft conversions and full home renovations across Swindon and the surrounding area. The team has over 35 years of combined experience within the building and construction industry. Reviews from Yell highlight consistently professional workmanship with competitive quotations, budgets respected, and positive feedback describing bathroom renovations as ""OUTSTANDING"" and first-class work. With a strong reputation but a basic website that relies heavily on phone and email contact (with obfuscated email addresses), Construction Edge would significantly benefit from a professional site featuring project portfolio galleries, online quote request forms, and clear service pages that allow prospective customers in the competitive Swindon market to easily verify credentials and submit inquiries without friction.","Imported from Facebook test run dataset_dedup-datasets_2026-04-06_09-45-10-565.json"
"Cotswold Valley Kitchens","Researched with website","Kitchen Fitter",,,"info@cotswoldvalleykitchens.com","01453605604","Stroud","GL5 4SP","https://www.cotswoldvalleykitchens.com","Unknown",,"0","Unknown",,"21",,,"ltd",,,"Cotswold Valley Kitchens is a family-run kitchen company based in Stroud that designs and builds bespoke kitchens across the Cotswolds, working with customers in Gloucestershire, Wiltshire, Bristol and Oxfordshire. The company was co-founded in 2022, making it relatively new, though <ancite index=""9-6"">the founder Rob has 14 years of professional experience in kitchen crafting and installation</cite>, backed by <cite index=""3-7"">over 60 years of combined family craftsmanship</cite>. They are rated 5 stars across every review and maintain strong social proof, with <cite index=""13-6"">100% recommendation on Facebook with 15 reviews</cite>. The most compelling reason they'd benefit from a professional website is their heavy reliance on Facebook as a primary communication channel and their existing website's basic layout—combined with their premium positioning and use of immersive VR technology in design consultations, a strategically optimized website would capture high-intent search traffic from affluent homeowners searching for bespoke kitchen installers across the multi-county region they serve, where local SEO dominance would directly translate to qualified leads.","Imported from Google Maps test run dataset_merge-dedup-transform-datasets-task-google-places_2026-04-06_09-53-23-420.json"
"David Hancock Handyman","Researched with website","Landscaper / Garden Designer",,,"contact@dchancock.co.uk","07759032020","Westbury","BA13 3UW","dchancock.co.uk","Unknown",,"0","Unknown",,"3",,,"ltd",,,"David Hancock Handyman has been operating for over 10 years, offering a wide range of services across Wiltshire and Somerset. After training as a landscaper, he started his own business to provide a more personal and dependable service, and specializes in fencing, porcelain patios, artificial grass installation and interior repainting. Customer reviews highlight his polished finishing work and reputation for honesty and professionalism, though his online presence is currently limited to a basic website (dchancock.co.uk) and Facebook page. Despite strong word-of-mouth credentials and direct client testimonials, the absence of comprehensive review profiles on major platforms like Trustpilot, Rated People, or Google Reviews represents a significant opportunity—a professional website with integrated client reviews and service portfolio galleries would dramatically improve local discoverability and help him compete more visibly against the numerous other handymen in the BA13 postcode area.","Imported from Google Maps test run dataset_merge-dedup-transform-datasets-task-google-places_2026-04-06_09-53-23-420.json"
"Dorset Drainage Solutions","Researched with website","Plumber","Tier 3",,"dorsetdrainagesolutions@gmail.com","07925612387",,,"https://www.dorsetdrainage.co.uk/","Unknown",,"0","Unknown",,"0",,"Unknown","ltd",,,,"Facebook: https://www.facebook.com/DorsetDS/"
"EJB Plumbing & Heating Cheltenham","Researched with website","Gas Engineer / Boiler Installer","Tier 3","Raymond","raymondbrown07@msn.com","07425062919",,,"https://www.ejbheating.com","Unknown","spf.hostns","1","Agency-managed",,"0",,"Unknown","ltd",,,"EJB Plumbing & Heating Limited (SC379756) specialises in plumbing, heat and air-conditioning installation and has been incorporated since 4 June 2010, giving them 16 years of trading history. The company is a Gas Safe registered plumbing firm offering a wide range of services from repairs to new system installations, providing free advice on heating system upgrades and efficiency improvements. Led by Raymond, the business is highly praised for responsiveness, professionalism, and efficiency; customers appreciate their ability to accommodate short notice requests, deliver high-quality work with excellent aftercare, and their friendly, knowledgeable, reasonably priced service. The single most compelling reason EJB would benefit from a professional website is to capture online visibility in an increasingly digital market—their current online presence appears limited despite having an active Facebook page with 162 likes and a basic contact page, meaning a modern website could significantly enhance their ability to generate local leads and compete with better-optimized competitors in the plumbing and heating sector.","Facebook: https://www.facebook.com/p/EJB-Plumbing-Heating-Cheltenham-61572326920643/"
"Ei Projects Limited","Researched with website","Electrician",,"Mr Brett Edbrook","brett@eiprojects.co.uk",,"Bournemouth","BH11 8LW","https://www.eiprojects.co.uk","Wix","spf.protection","1","Agency-managed",,,,"Corporate - Ltd","ltd","1-5","< £100k","Based on my research, I need to clarify that there appears to be some confusion about Ei Projects Limited. EI Projects is a commercial interior design and fit-out company that manages projects of all sizes from concept to completion across the UK, not primarily an electrician (though electrical installation is listed as their SIC code). The company was incorporated on 2 September 2009, giving them approximately 15 years of trading history. A critical finding is that the company has no reviews on business directories, suggesting minimal online visibility despite operating for over a decade. The most compelling reason they'd benefit from a professional website is to establish credibility and showcase their commercial fit-out portfolio to UK-wide clients—currently they have virtually no searchable online presence despite competing in a specialized sector where portfolio visibility directly influences client acquisition.",
"Evie's Kitchen","Researched with website","Other",,,"info@eviesmac.co.uk","01225857670","Melksham",,"https://evies-kitchen.co.uk","Unknown","spf.filteredmx","1","Agency-managed","98","0",,"Corporate - Ltd","ltd",,,"DATA QUALITY ISSUE — DO NOT OUTREACH. Evie's Kitchen (CH 12317494, eviesmac on Facebook) is a CAFE located at King George V Playing Fields in Melksham, Wiltshire — not a kitchen fitter. It has a fully built website at http://evies-kitchen.co.uk with menu, events, private hire and online ordering via Just Eat. The business has 6,645 Facebook likes, TripAdvisor reviews, and Restaurant Guru listing. It was incorrectly scraped into this pipeline under Trade Category 'Kitchen Fitter'. The Trade Category has been corrected to 'Other', Has Website updated to Yes, and postal outreach suppressed. This record should be manually reviewed and likely removed from the pipeline entirely as it is not a NeoBookworm target.","Facebook: https://www.facebook.com/eviesmac/
Rating: 98"
"Handyman Bristol Near Me","Researched with website","Handyman","Tier 3",,"info@handymannearme.london","07863378934",,,"https://www.handymaninbristol.co.uk/","Unknown",,"0","Unknown","5","21",,"Unknown","ltd",,,"I was unable to find specific information about a business explicitly named ""Handyman Bristol Near Me"" as a registered company. The search results return general handyman services directories for Bristol, UK, and references to various handyman businesses operating in Bristol, but no dedicated business profile for an entity specifically called ""Handyman Bristol Near Me.""

To provide you with an accurate research brief, I would need:

1. The exact business name (as registered)
2. The specific location/postcode if available
3. Any website URL or online business page for this handyman service

Could you provide these details so I can research this specific business and deliver the targeted brief you're looking for?","Google Maps: https://www.google.com/maps/search/?api=1&query=Handyman%20Bristol%20Near%20Me&query_place_id=ChIJpy7JBKmPcUgR7Hz1CJtyKE8"
"Hann Roofing LTD","Researched with website","Roofer","Tier 2",,"hann_roofing@outlook.com","07795255314",,,"https://hannroofing.co.uk/","Unknown","spf.filteredmx","1","Agency-managed","100","0",,"Unknown","ltd",,,"Hann Roofing Ltd is a Bristol-based roofing contractor incorporated April 2023, serving Bristol, Somerset, Portishead, Nailsea, Backwell, and Yate. Services include full roof installations and replacements, repairs, flat roofing, slate roofing, roof windows, roof cleaning, fascias/soffits/guttering, chimney repair, and storm damage. The company has a functioning website at http://hannroofing.co.uk with dedicated service area pages and a gallery section, and an active Checkatrade profile. As a young company (est. 2023) with an existing website, this is a potential upgrade/redesign pitch — the current site shows the hallmarks of a basic early-stage site that could benefit from improved lead generation, review management integration, and portfolio presentation to build credibility in a competitive Bristol roofing market.","Facebook: https://www.facebook.com/p/Hann-Roofing-LTD-100067664288175/
Rating: 100"
"I AM HANDYMAN Aleksandr Miliutin","Researched with website","Handyman",,,"help@iamhandyman.services","07718155884","22 Henley Way","BA11 3HY","https://www.facebook.com/profile.php?id=61555926183958","Unknown",,"0","Unknown",,"5",,"Unknown","ltd",,,"I apologize, but I cannot find specific information about ""I AM HANDYMAN"" operated by Aleksandr Miliutin at 22 Henley Way, BA11 3HY through web search. The business does not appear to have a significant online presence indexed by search engines, review sites, or business directories that I can access.

To provide you with the accurate, specific research brief you've requested, I would need to locate:
- What services they offer
- How long they've been trading
- Customer reviews or online feedback
- Current online visibility

Without verifiable online data, I cannot ethically create a research brief with specific claims about their business. I'd recommend:

1. Checking local UK business directories (Companies House registry)
2. Searching local Westbury/Frome business listings
3. Looking for Google My Business or Facebook presence
4. Reviewing Trustpilot, Yell.com, or MyBuilder UK profiles

If you have direct contact information for the business, they could provide information about their trading history and services themselves.","Google Maps: https://www.google.com/maps/search/?api=1&query=I%20AM%20HANDYMAN%20Aleksandr%20Miliutin&query_place_id=ChIJSdiraPstckgRnhl3w-x3Tmg"
"KS Plumbing","Researched with website","Plumber","Tier 3",,"kylesterry@hotmail.com","07947762469",,,"http://ks-plumbing.co.uk/","Unknown",,"0","Unknown","100","0",,"Unknown","ltd",,,"I'd be happy to help you research KS Plumbing, but I need the location information to find the right business. You mentioned ""KS Plumbing, a Plumber based in , ."" but the location details appear to be missing.

Could you please provide:
- The city and state/province where KS Plumbing is located?

This will help me search for the correct business and provide you with accurate information.","Facebook: https://www.facebook.com/KSterryPlumbing/
Rating: 100"
"Lisa's Painting & Decorating","Researched with website","Painter & Decorator","Tier 2","Lisa","lisaspandd@gmail.com","07772251957","Northampton",,"https://lisaipd.co.uk/","Unknown",,"0","Unknown",,"0",,"Unknown","ltd",,,"Lisa's Painting & Decorating is a female painter and decorator with over 17 years of experience, offering domestic and commercial painting and decorating services. Information on the company's incorporation date was not found in search results, but their Facebook profile shows 100% positive customer ratings and they maintain an active online presence. The business operates as a friendly, reliable and clean decorating service for domestic and commercial properties, prioritizing customer satisfaction and detailed finishes. The most compelling reason they would benefit from a professional website is that their current online visibility relies solely on social media and an outdated website template, limiting their ability to demonstrate their 17 years of expertise, generate qualified leads, and compete effectively with competitors who have more polished digital presences.","Facebook: https://www.facebook.com/LisasPaintingandDecorating/mentions/"
"Little Lou’s cleaning services","Researched with website","Commercial Cleaner",,,"lucybeth32@icloud.com","07494916427",,,"https://lous-little-cleaning-co-ltd.square.site/","Unknown",,"0","Unknown","100","0",,"Unknown","ltd",,,"I'd be happy to help research Little Lou's cleaning services, but I notice the location information appears to be missing from your request. You've written ""based in , ."" without specifying the city and state/country.

Could you please provide the complete location for Little Lou's cleaning services? Once I have that, I can search for their business information and provide you with the specific research brief you're looking for.","Facebook: https://www.facebook.com/littlelouscleanimg/
Rating: 100"
"M G Fox Plastering Ltd | Wincanton","Researched with website","Plasterer","Tier 2",,"mgfoxplastering@gmail.com","07854441645","United Kingdom",,"http://www.foxplastering.uk/","Unknown",,"0","Unknown","100","0",,"Unknown","ltd",,,"M G Fox Plastering Ltd is a Somerset-based family-run plastering company offering a comprehensive range of services including K-Rend rendering, traditional lime work, cement rendering, venetian plastering, damp proofing, internal building, studding, insulation, lime application for heritage properties, floor screeding, and floor levelling. The business has been established since 2017, meaning the company is currently operating for approximately nine years. The company maintains a strong online presence with a 100% recommendation rating from five reviews on their Facebook page and is rated, trusted and verified, though specific Companies House incorporation information for the exact entity ""M G Fox Plastering Ltd"" with the 2026-03-18 date provided could not be verified. The single most compelling reason M G Fox Plastering would benefit from a professional website is that current online visibility is fragmented across third-party platforms (Facebook, Rated People) with limited branded web presence, whereas a dedicated website would centralize their extensive service offerings, showcase their heritage property expertise and warranty offerings, and provide a professional digital storefront for the Somerset market where customers increasingly search for local tradespersons online.","Facebook: https://www.facebook.com/MGFoxplastering/
Rating: 100"
"MG Property Maintenance","Researched with website","Handyman","Tier 3",,"info@mgpropertymaintenance.com","07719388841","7 Moorfields Rd","BA2 2HX","https://mgpropertymaintenance.com/","Unknown","relay.mailchannels","1","Agency-managed",,"0",,"Unknown","ltd",,,"Based on my research, I found a Facebook page for MG Property Maintenance with the phone number +44 7539 657408 that describes them as a Kitchen & Bath Contractor offering ""all your property needs in one place."" While I cannot definitively confirm this is located at 7 Moorfields Rd, BA2 2HX (the Facebook page does not list a specific address), the available information is limited. Here's what I can provide:

RESEARCH BRIEF - MG PROPERTY MAINTENANCE

MG Property Maintenance describes itself as offering ""all your property needs in one place"" and operates as a Kitchen & Bath Contractor, handling property maintenance and home improvement services. The business shows limited public information regarding exact trading history, though registration searches indicate operations as a property maintenance entity. Their Facebook page displays ""100% recommend (6 Reviews)"", suggesting positive customer sentiment, though the sample size is small and may indicate an emerging or newly promoted online presence rather than established market dominance. The most compelling case for a professional website is their current reliance on Facebook and a basic domain (mgpropertymaintenance.net)—without dedicated web presence showcasing project portfolios, service breakdowns, or transparent pricing, they're losing qualified leads to competitors with stronger digital infrastructure in a competitive local market where established Bath handymen actively maintain detailed service listings and review profiles.","Google Maps: https://www.google.com/maps/search/?api=1&query=MG%20Property%20Maintenance&query_place_id=ChIJg7eTCiaBcUgRzitA1TvC2rk"
"Mark Palmer Plumbing & Heating","Researched with website","Plumber",,,"info@markpalmerplumbingandheating.co.uk","07841340254",,,"https://markpalmerplumbingandheating.co.uk/","Unknown","spf.filteredmx","1","Agency-managed",,"51",,,"ltd",,,"I'd be happy to help research Mark Palmer Plumbing & Heating, but I need a bit more information. You mentioned they're based in a location, but the city and state/country appear to be missing from your message. 

Could you please provide:
1. The city where they're based
2. The state or country

Once I have this information, I'll search for their details and create a specific research brief for you.","Imported from Google Maps test run dataset_merge-dedup-transform-datasets-task-google-places_2026-04-06_09-53-23-420.json"
"Masons Electrical | Shaftesbury","Researched with website","Electrician","Tier 3",,"shaunsamways@gmail.com","07549654964","Shaftesbury",,"https://www.masonselectricaluk.com/","Unknown",,"0","Unknown","100","0",,"Unknown","ltd",,,,"Facebook: https://www.facebook.com/masonselectrical1/
Rating: 100"
"McIntosh Builders","Researched with website","Loft Conversion / Extension Builder","Tier 1",,"mcintoshbuildersgloucester@gmail.com","07710475143",,,"https://instagram.com/mcintosh_buildersltd","Unknown","facebookmail.com","1","Agency-managed",,"0",,"Unknown","ltd",,,"McIntosh Builders Limited is a private limited company incorporated on 11 January 2019 and registered at 27 Grasmere Road, Longlevens, Gloucester, GL2 0NQ, operating as a loft conversion and extension builder specializing in residential property improvements. With approximately seven years of trading history since incorporation, the company has been building its market presence in the construction sector. The search results returned primarily US-based builders of the same or similar name rather than specific online reviews or notable social media presence for the UK-registered entity, indicating limited public digital visibility or reviews platform engagement. The most compelling reason McIntosh Builders would benefit from a professional website is to establish credible online presence where potential clients in the Gloucester area can discover their services, view project portfolios, and request quotes, addressing what appears to be a gap in their current digital marketing that competitors actively exploit to capture local residential extension and conversion demand.","Facebook: https://www.facebook.com/McIntoshBuildersLTD/"
